LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),LOCATION Latitude : ,LOCATION Longitude : ,YYYY-MO-DD HH-MI-SS_SSS,Annotation,,
1.2673,-1.432,-3.664,49.277264,7.033313,2019-05-29 11:59:48:716,,,
0.4687,-2.777,-1.6151,49.277264,7.033313,2019-05-29 11:59:48:816,,,
-1.328,-2.7685,-1.4475,49.277264,7.033313,2019-05-29 11:59:48:915,,,
-2.415,-0.7701,-1.4375,49.277264,7.033313,2019-05-29 11:59:49:016,,,
-4.3242,2.2573,-1.0134,49.277264,7.033313,2019-05-29 11:59:49:115,,,
-0.0061,0.487,2.2868,49.277264,7.033313,2019-05-29 11:59:49:216,,,
2.9572,2.2192,0.1699,49.277264,7.033313,2019-05-29 11:59:49:315,,,
5.8251,1.8039,3.737,49.277264,7.033313,2019-05-29 11:59:49:416,,,
0.2337,-0.8452,5.6815,49.277264,7.033313,2019-05-29 11:59:49:516,,,
-1.5998,-2.5279,-0.576,49.277264,7.033313,2019-05-29 11:59:49:615,,,
-2.0188,-1.5539,-1.4494,49.277264,7.033313,2019-05-29 11:59:49:716,,,
-1.3018,-2.8862,-1.6307,49.277264,7.033313,2019-05-29 11:59:49:816,,,
-0.9499,-1.4201,-0.3585,49.277264,7.033313,2019-05-29 11:59:49:915,,,
-3.5116,0.0386,-3.2939,49.277264,7.033313,2019-05-29 11:59:50:016,,,
2.1846,0.1126,-2.2369,49.277264,7.033313,2019-05-29 11:59:50:116,,,
4.7108,3.0583,0.8386,49.277264,7.033313,2019-05-29 11:59:50:216,,,
2.8009,0.4334,3.2179,49.277264,7.033313,2019-05-29 11:59:50:318,,,
-0.8192,-2.264,0.1404,49.277264,7.033313,2019-05-29 11:59:50:416,,,
-2.1893,-1.1579,-0.47,49.277264,7.033313,2019-05-29 11:59:50:516,,,
-0.2743,-3.2987,-0.035,49.277264,7.033313,2019-05-29 11:59:50:616,,,
-0.858,-1.1205,0.5908,49.277264,7.033313,2019-05-29 11:59:50:715,,,
2.0051,0.1994,3.5021,49.277264,7.033313,2019-05-29 11:59:50:816,,,
4.3468,-3.1583,-1.3515,49.277264,7.033313,2019-05-29 11:59:50:916,,,
1.3683,-3.2875,0.9796,49.277264,7.033313,2019-05-29 11:59:51:016,,,
0.5617,-4.0772,-1.8585,49.277264,7.033313,2019-05-29 11:59:51:116,,,
0.9738,-3.556,-1.8892,49.277264,7.033313,2019-05-29 11:59:51:216,,,
5.3997,-0.1747,4.0123,49.277264,7.033313,2019-05-29 11:59:51:315,,,
0.033,-2.2841,0.0666,49.277264,7.033313,2019-05-29 11:59:51:416,,,
0.2198,-1.1415,-1.2286,49.277264,7.033313,2019-05-29 11:59:51:516,,,
-0.3822,1.6715,1.0763,49.277264,7.033313,2019-05-29 11:59:51:616,,,
-2.063,1.2382,1.6776,49.277264,7.033313,2019-05-29 11:59:51:715,,,
-1.7273,-0.4179,3.7688,49.277264,7.033313,2019-05-29 11:59:51:815,,,
-1.3743,-0.8554,-0.5348,49.277264,7.033313,2019-05-29 11:59:51:916,,,
0.3874,-0.8167,-1.8645,49.277264,7.033313,2019-05-29 11:59:52:016,,,
3.8619,0.9443,0.2007,49.277264,7.033313,2019-05-29 11:59:52:115,,,
3.0546,-0.7192,0.83,49.277264,7.033313,2019-05-29 11:59:52:216,,,
-0.9426,-3.0612,1.2769,49.277264,7.033313,2019-05-29 11:59:52:315,,,
-1.4857,-0.5988,-1.7263,49.277264,7.033313,2019-05-29 11:59:52:416,,,
0.0577,-1.012,-1.4304,49.277264,7.033313,2019-05-29 11:59:52:516,,,
-1.3373,-0.1294,1.9631,49.277264,7.033313,2019-05-29 11:59:52:616,,,
-0.5963,-1.5308,3.55,49.277264,7.033313,2019-05-29 11:59:52:716,,,
-2.4362,-1.9023,-0.5441,49.277264,7.033313,2019-05-29 11:59:52:816,,,
0.8105,-1.7489,-4.1387,49.277264,7.033313,2019-05-29 11:59:52:916,,,
0.4586,1.4278,-0.1395,49.277264,7.033313,2019-05-29 11:59:53:015,,,
3.0665,3.9981,1.0749,49.277264,7.033313,2019-05-29 11:59:53:116,,,
1.4127,-1.2505,3.2792,49.277264,7.033313,2019-05-29 11:59:53:217,,,
-0.8252,-2.0984,-1.8051,49.277264,7.033313,2019-05-29 11:59:53:316,,,
-1.3143,-3.6668,0.4274,49.277264,7.033313,2019-05-29 11:59:53:415,,,
-1.9858,-1.8523,-0.5592,49.277264,7.033313,2019-05-29 11:59:53:516,,,
-1.4948,-1.3457,-1.0334,49.277264,7.033313,2019-05-29 11:59:53:616,,,
-2.4845,-1.2299,-1.8439,49.277264,7.033313,2019-05-29 11:59:53:716,,,
3.6007,1.4786,3.2332,49.277264,7.033313,2019-05-29 11:59:53:815,,,
4.7376,2.8373,1.1888,49.277264,7.033313,2019-05-29 11:59:53:916,,,
5.4356,0.6088,2.1384,49.277264,7.033313,2019-05-29 11:59:54:016,,,
5.7091,-2.2689,4.8445,49.277264,7.033313,2019-05-29 11:59:54:116,,,
0.2061,-3.6985,2.6386,49.277264,7.033313,2019-05-29 11:59:54:215,,,
-1.8378,-3.4668,0.8773,49.277264,7.033313,2019-05-29 11:59:54:315,,,
-3.4671,-3.4166,-2.77,49.277264,7.033313,2019-05-29 11:59:54:417,,,
-2.1175,-2.4324,1.1615,49.277264,7.033313,2019-05-29 11:59:54:515,,,
5.0153,4.2088,-1.5702,49.277264,7.033313,2019-05-29 11:59:54:616,,,
4.9267,2.1473,4.5327,49.277264,7.033313,2019-05-29 11:59:54:716,,,
3.1679,0.9699,0.5025,49.277264,7.033313,2019-05-29 11:59:54:816,,,
0.816,-0.4341,2.4582,49.277264,7.033313,2019-05-29 11:59:54:916,,,
-1.9873,-2.6227,1.3343,49.277264,7.033313,2019-05-29 11:59:55:016,,,
-1.4635,-4.1684,-0.7678,49.277264,7.033313,2019-05-29 11:59:55:116,,,
-1.6694,-0.2444,0.8495,49.277264,7.033313,2019-05-29 11:59:55:218,,,
-1.8778,-0.9919,0.8444,49.277264,7.033313,2019-05-29 11:59:55:315,,,
-2.6605,-0.6779,3.9936,49.277264,7.033313,2019-05-29 11:59:55:416,,,
-0.2371,-0.8038,-1.4799,49.277264,7.033313,2019-05-29 11:59:55:516,,,
5.3255,1.6152,-1.0069,49.277264,7.033313,2019-05-29 11:59:55:615,,,
2.2566,2.3398,2.8363,49.277264,7.033313,2019-05-29 11:59:55:716,,,
0.7294,0.9162,-1.7054,49.277264,7.033313,2019-05-29 11:59:55:816,,,
-3.4226,-2.3287,0.3984,49.277264,7.033313,2019-05-29 11:59:55:916,,,
-0.5447,2.3141,0.8628,49.277264,7.033312,2019-05-29 12:08:14:067,1,,
-1.3303,1.3844,1.1612,49.277264,7.033312,2019-05-29 12:08:14:167,,,
-1.1328,1.7414,-0.0084,49.277264,7.033312,2019-05-29 12:08:14:267,,,
-2.015,-0.9189,0.3739,49.277264,7.033312,2019-05-29 12:08:14:367,,,
2.0063,-0.254,-4.8152,49.277264,7.033312,2019-05-29 12:08:14:467,,,
7.2342,1.7804,2.8503,49.277264,7.033312,2019-05-29 12:08:14:568,,,
6.89,0.9974,0.0133,49.277264,7.033312,2019-05-29 12:08:14:668,,,
0.3816,-2.4378,4.9776,49.277264,7.033312,2019-05-29 12:08:14:767,,,
-2.0585,-3.7901,2.534,49.277264,7.033312,2019-05-29 12:08:14:868,,,
-3.7903,-4.9015,1.6531,49.277264,7.033312,2019-05-29 12:08:14:967,,,
-3.7076,-2.6734,-4.0635,49.277264,7.033312,2019-05-29 12:08:15:067,,,
-3.0925,-1.2068,1.9209,49.277264,7.033312,2019-05-29 12:08:15:167,,,
-0.8782,-0.2835,-2.5146,49.277264,7.033312,2019-05-29 12:08:15:268,,,
6.6718,3.2006,1.1604,49.277264,7.033312,2019-05-29 12:08:15:368,,,
9.9684,2.3,7.8771,49.277264,7.033312,2019-05-29 12:08:15:467,,,
4.8716,-3.1687,6.5585,49.277264,7.033312,2019-05-29 12:08:15:567,,,
-1.376,-5.8086,1.2965,49.277264,7.033312,2019-05-29 12:08:15:668,,,
-5.4234,-5.554,-1.1812,49.277264,7.033312,2019-05-29 12:08:15:767,,,
-5.8588,-3.3305,-0.8623,49.277264,7.033312,2019-05-29 12:08:15:867,,,
-7.1958,-2.8619,1.0685,49.277264,7.033312,2019-05-29 12:08:15:967,,,
-7.1958,-2.8619,1.0685,49.277264,7.033312,2019-05-29 12:08:16:067,,,
2.104,0.0572,-0.3222,49.277264,7.033312,2019-05-29 12:08:16:168,,,
3.5171,3.7605,1.5402,49.277264,7.033312,2019-05-29 12:08:16:267,,,
1.8839,2.5235,1.351,49.277264,7.033312,2019-05-29 12:08:16:367,,,
1.0292,-1.2378,-0.667,49.277264,7.033312,2019-05-29 12:08:16:467,,,
-2.1587,-1.8333,-0.0728,49.277264,7.033312,2019-05-29 12:08:16:566,,,
-3.1965,-2.9746,-0.5266,49.277264,7.033312,2019-05-29 12:08:16:667,,,
-2.218,-1.4872,-2.6325,49.277264,7.033312,2019-05-29 12:08:16:767,,,
-1.3416,-0.3656,1.5739,49.277264,7.033312,2019-05-29 12:08:16:867,,,
0.213,1.9808,0.645,49.277264,7.033312,2019-05-29 12:08:16:967,,,
3.6582,2.6304,2.8387,49.277264,7.033312,2019-05-29 12:08:17:068,,,
3.4676,1.6217,1.6576,49.277264,7.033312,2019-05-29 12:08:17:167,,,
-0.2533,-2.8893,1.5634,49.277264,7.033312,2019-05-29 12:08:17:267,,,
-2.1387,-4.0343,-1.8164,49.277264,7.033312,2019-05-29 12:08:17:367,,,
-2.9629,-2.7682,0.317,49.277264,7.033312,2019-05-29 12:08:17:467,,,
-1.65,-1.7639,-2.2512,49.277264,7.033312,2019-05-29 12:08:17:568,,,
-1.9013,-0.9911,2.5757,49.277264,7.033312,2019-05-29 12:08:17:668,,,
-0.2528,0.2712,-1.1338,49.277264,7.033312,2019-05-29 12:08:17:767,,,
3.2757,0.837,-0.0898,49.277264,7.033312,2019-05-29 12:08:17:867,,,
4.8604,1.9664,0.2571,49.277264,7.033312,2019-05-29 12:08:17:968,,,
4.4994,1.9609,0.2368,49.277264,7.033312,2019-05-29 12:08:18:068,,,
4.4994,1.9609,0.2368,49.277264,7.033312,2019-05-29 12:08:18:167,,,
-1.0485,-5.8198,-0.7552,49.277264,7.033312,2019-05-29 12:08:18:269,,,
-2.0688,-3.9841,-1.1064,49.277264,7.033312,2019-05-29 12:08:18:367,,,
-3.0309,-1.2405,-2.761,49.277264,7.033312,2019-05-29 12:08:18:467,,,
-1.6771,-0.0512,5.2314,49.277264,7.033312,2019-05-29 12:08:18:567,,,
0.2738,0.107,0.5511,49.277264,7.033312,2019-05-29 12:08:18:667,,,
2.6384,-0.1842,-0.9373,49.277264,7.033312,2019-05-29 12:08:18:767,,,
3.9646,-0.55,-1.4759,49.277264,7.033312,2019-05-29 12:08:18:866,,,
6.5155,-2.304,3.3278,49.277264,7.033312,2019-05-29 12:08:18:967,,,
2.044,0.993,11.1491,49.277264,7.033312,2019-05-29 12:08:19:067,,,
-0.9224,-3.9141,-0.2417,49.277264,7.033312,2019-05-29 12:08:19:167,,,
0.5885,-3.4129,-2.1008,49.277264,7.033312,2019-05-29 12:08:19:267,,,
1.6883,-3.0541,-0.7096,49.277264,7.033312,2019-05-29 12:08:19:367,,,
-0.0099,-1.2716,-1.2956,49.277264,7.033312,2019-05-29 12:08:19:468,,,
-2.37,1.4543,0.1626,49.277264,7.033312,2019-05-29 12:08:19:567,,,
-2.6491,1.7014,1.1648,49.277264,7.033312,2019-05-29 12:08:19:667,,,
-1.8917,1.634,0.9927,49.277264,7.033312,2019-05-29 12:08:19:768,,,
-1.2606,0.0785,-0.1416,49.277264,7.033312,2019-05-29 12:08:19:867,,,
1.0735,0.0418,-2.7908,49.277264,7.033312,2019-05-29 12:08:19:967,,,
2.1268,2.0437,-1.8886,49.277264,7.033312,2019-05-29 12:08:20:067,,,
3.3287,1.8323,4.9943,49.277264,7.033312,2019-05-29 12:08:20:167,,,
1.6132,-1.3699,3.4105,49.277264,7.033312,2019-05-29 12:08:20:267,,,
-0.3486,-5.745,0.7556,49.277264,7.033312,2019-05-29 12:08:20:367,,,
-0.5961,-5.2507,-1.0208,49.277264,7.033312,2019-05-29 12:08:20:467,,,
-3.6011,-2.0527,-1.0645,49.277264,7.033312,2019-05-29 12:08:20:567,,,
-4.0251,-0.6616,-2.1694,49.277264,7.033312,2019-05-29 12:08:20:667,,,
-4.7613,-0.0743,1.475,49.277264,7.033312,2019-05-29 12:08:20:767,,,
1.5053,-1.1999,0.8472,49.277264,7.033312,2019-05-29 12:08:20:867,,,
3.76,-0.3337,2.1068,49.277264,7.033312,2019-05-29 12:08:20:967,,,
5.9615,2.9476,3.7,49.277264,7.033312,2019-05-29 12:08:21:067,,,
5.6344,2.781,3.6339,49.277264,7.033312,2019-05-29 12:08:21:167,,,
0.2821,-3.4774,5.442,49.277264,7.033312,2019-05-29 12:08:21:268,,,
-1.2542,-7.0047,1.0962,49.277264,7.033312,2019-05-29 12:08:21:367,,,
-3.1285,-2.6206,-1.898,49.277264,7.033312,2019-05-29 12:08:21:466,,,
-5.5559,-1.8421,-0.0734,49.277264,7.033312,2019-05-29 12:08:21:568,,,
-7.7437,1.3614,1.4425,49.277264,7.033312,2019-05-29 12:08:21:667,,,
-4.9961,-1.9663,3.6027,49.277264,7.033312,2019-05-29 12:08:21:767,,,
-0.0014,-2.206,0.0439,49.277264,7.033312,2019-05-29 12:08:21:868,,,
5.9208,1.914,1.9404,49.277264,7.033312,2019-05-29 12:08:21:967,,,
9.1122,-1.4317,5.9501,49.277264,7.033312,2019-05-29 12:08:22:067,,,
5.598,-2.4889,5.1588,49.277264,7.033312,2019-05-29 12:08:22:168,,,
-0.6311,-5.8615,2.3795,49.277264,7.033312,2019-05-29 12:08:22:267,,,
-1.6655,-6.0968,1.1454,49.277264,7.033312,2019-05-29 12:08:22:367,,,
-4.3911,-1.0858,-0.416,49.277264,7.033312,2019-05-29 12:08:22:468,,,
-3.9906,0.305,4.0563,49.277264,7.033312,2019-05-29 12:08:22:567,,,
2.262,0.3956,-4.3891,49.277264,7.033312,2019-05-29 12:08:22:667,,,
3.5462,1.8593,-1.082,49.277264,7.033312,2019-05-29 12:08:22:767,,,
7.9297,3.5837,2.7415,49.277264,7.033312,2019-05-29 12:08:22:868,,,
4.3211,3.1347,2.5264,49.277264,7.033312,2019-05-29 12:08:22:968,,,
-3.0707,0.109,5.9034,49.277264,7.033312,2019-05-29 12:08:23:067,,,
-0.9976,-6.652,0.3932,49.277264,7.033312,2019-05-29 12:08:23:167,,,
-2.885,-6.7304,-1.5649,49.277264,7.033312,2019-05-29 12:08:23:268,,,
-3.8747,1.5005,-2.5914,49.277264,7.033312,2019-05-29 12:08:23:368,,,
-4.755,4.4101,1.4913,49.277264,7.033312,2019-05-29 12:08:23:467,,,
-4.0078,-0.0279,4.8135,49.277264,7.033312,2019-05-29 12:08:23:567,,,
-1.5427,-3.2062,-1.6507,49.277264,7.033312,2019-05-29 12:08:23:668,,,
2.0411,-1.1553,0.2688,49.277264,7.033312,2019-05-29 12:08:23:767,,,
2.0822,0.1382,1.4009,49.277264,7.033312,2019-05-29 12:08:23:867,,,
2.0822,0.1382,1.4009,49.277264,7.033312,2019-05-29 12:08:23:967,,,
1.1609,1.9185,0.2319,49.277264,7.033312,2019-05-29 12:07:30:171,1,,
1.8621,1.6961,3.6498,49.277264,7.033312,2019-05-29 12:07:30:271,,,
1.1263,1.2517,1.5865,49.277264,7.033312,2019-05-29 12:07:30:372,,,
0.191,-1.084,-2.937,49.277264,7.033312,2019-05-29 12:07:30:471,,,
-0.4431,-1.4547,-2.3378,49.277264,7.033312,2019-05-29 12:07:30:571,,,
-1.7917,0.3095,-3.6971,49.277264,7.033312,2019-05-29 12:07:30:671,,,
-1.1325,0.2356,3.4707,49.277264,7.033312,2019-05-29 12:07:30:771,,,
-1.7845,-0.8297,3.5445,49.277264,7.033312,2019-05-29 12:07:30:872,,,
-2.897,-1.0621,-1.3801,49.277264,7.033312,2019-05-29 12:07:30:971,,,
0.726,-0.8288,-3.9523,49.277264,7.033312,2019-05-29 12:07:31:071,,,
3.9944,1.4046,1.0259,49.277264,7.033312,2019-05-29 12:07:31:171,,,
3.775,1.2005,1.2267,49.277264,7.033312,2019-05-29 12:07:31:272,,,
-0.5204,-2.4163,-0.0958,49.277264,7.033312,2019-05-29 12:07:31:372,,,
-2.9936,-2.5073,-1.0601,49.277264,7.033312,2019-05-29 12:07:31:471,,,
-3.7177,-1.7338,-1.5379,49.277264,7.033312,2019-05-29 12:07:31:571,,,
-3.2439,-1.3891,-0.1351,49.277264,7.033312,2019-05-29 12:07:31:671,,,
-4.3928,1.2708,0.5274,49.277264,7.033312,2019-05-29 12:07:31:771,,,
0.6219,0.1516,-3.3336,49.277264,7.033312,2019-05-29 12:07:31:871,,,
0.0301,0.4488,-1.8577,49.277264,7.033312,2019-05-29 12:07:31:971,,,
0.2892,0.9048,1.616,49.277264,7.033312,2019-05-29 12:07:32:071,,,
-4.1992,2.2872,1.471,49.277264,7.033312,2019-05-29 12:07:32:171,,,
-1.2351,-2.3606,1.2605,49.277264,7.033312,2019-05-29 12:07:32:271,,,
1.9976,0.7939,0.4299,49.277264,7.033312,2019-05-29 12:07:32:371,,,
-2.35,0.8115,-1.8894,49.277264,7.033312,2019-05-29 12:07:32:472,,,
-2.4377,-1.0058,-0.3094,49.277264,7.033312,2019-05-29 12:07:32:571,,,
-2.0974,0.0329,1.5565,49.277264,7.033312,2019-05-29 12:07:32:672,,,
-1.5983,-0.2297,2.3125,49.277264,7.033312,2019-05-29 12:07:32:773,,,
2.8537,-0.8463,0.2533,49.277264,7.033312,2019-05-29 12:07:32:871,,,
2.6714,0.0168,-0.5168,49.277264,7.033312,2019-05-29 12:07:32:971,,,
0.1279,0.2597,1.7224,49.277264,7.033312,2019-05-29 12:07:33:071,,,
-1.3207,-1.3953,-0.4618,49.277264,7.033312,2019-05-29 12:07:33:171,,,
-1.7109,-0.7994,-2.627,49.277264,7.033312,2019-05-29 12:07:33:271,,,
-1.8948,-0.4965,-0.6519,49.277264,7.033312,2019-05-29 12:07:33:371,,,
-1.4313,-1.2742,-2.2422,49.277264,7.033312,2019-05-29 12:07:33:472,,,
-5.6029,-1.4567,-1.8863,49.277264,7.033312,2019-05-29 12:07:33:571,,,
1.2093,-0.5685,2.4271,49.277264,7.033312,2019-05-29 12:07:33:671,,,
13.9393,2.4968,2.2135,49.277264,7.033312,2019-05-29 12:07:33:772,,,
13.9393,2.4968,2.2135,49.277264,7.033312,2019-05-29 12:07:33:871,,,
13.5535,2.4173,2.1711,49.277264,7.033312,2019-05-29 12:07:33:971,,,
-2.75,-5.9271,-0.3796,49.277264,7.033312,2019-05-29 12:07:34:071,,,
-6.8835,-2.3786,-1.4398,49.277264,7.033312,2019-05-29 12:07:34:170,,,
-3.1748,-0.1513,-1.7878,49.277264,7.033312,2019-05-29 12:07:34:271,,,
1.6042,-0.4779,4.0039,49.277264,7.033312,2019-05-29 12:07:34:371,,,
2.8117,-0.0563,2.0952,49.277264,7.033312,2019-05-29 12:07:34:471,,,
4.3709,-0.9016,-0.0678,49.277264,7.033312,2019-05-29 12:07:34:571,,,
4.7284,-3.201,-2.3119,49.277264,7.033312,2019-05-29 12:07:34:671,,,
7.9212,-2.7231,9.017,49.277264,7.033312,2019-05-29 12:07:34:770,,,
5.93,-2.9641,7.1901,49.277264,7.033312,2019-05-29 12:07:34:871,,,
3.4363,-4.0474,3.8283,49.277264,7.033312,2019-05-29 12:07:34:971,,,
-0.6731,-5.2996,0.612,49.277264,7.033312,2019-05-29 12:07:35:071,,,
-1.8217,-4.3609,1.2512,49.277264,7.033312,2019-05-29 12:07:35:171,,,
-3.9504,-0.1319,1.5929,49.277264,7.033312,2019-05-29 12:07:35:271,,,
-3.9962,-0.1973,1.6167,49.277264,7.033312,2019-05-29 12:07:35:371,,,
-4.2525,-1.2662,-0.3254,49.277264,7.033312,2019-05-29 12:07:35:471,,,
-0.8086,1.2278,-3.0395,49.277264,7.033312,2019-05-29 12:07:35:570,,,
1.4485,0.6575,5.5426,49.277264,7.033312,2019-05-29 12:07:35:671,,,
-1.2937,0.0405,3.4881,49.277264,7.033312,2019-05-29 12:07:35:771,,,
1.0096,-1.3844,2.2489,49.277264,7.033312,2019-05-29 12:07:35:871,,,
0.6159,-2.4165,-0.6672,49.277264,7.033312,2019-05-29 12:07:35:971,,,
-0.5836,-2.0005,0.1904,49.277264,7.033312,2019-05-29 12:07:36:071,,,
-1.3393,-0.9151,0.9654,49.277264,7.033312,2019-05-29 12:07:36:171,,,
-1.4744,-0.2521,0.4204,49.277264,7.033312,2019-05-29 12:07:36:272,,,
-1.6788,-0.9981,0.564,49.277264,7.033312,2019-05-29 12:07:36:371,,,
-1.7026,-1.3841,-1.5353,49.277264,7.033312,2019-05-29 12:07:36:471,,,
0.1374,0.1462,-1.6519,49.277264,7.033312,2019-05-29 12:07:36:571,,,
0.735,0.6617,0.6637,49.277264,7.033312,2019-05-29 12:07:36:671,,,
0.6628,0.2479,0.7315,49.277264,7.033312,2019-05-29 12:07:36:772,,,
0.4007,-1.0976,-0.2174,49.277264,7.033312,2019-05-29 12:07:36:871,,,
-0.6699,-0.9401,0.3716,49.277264,7.033312,2019-05-29 12:07:36:971,,,
-0.8277,-0.4264,0.757,49.277264,7.033312,2019-05-29 12:07:37:072,,,
-0.9131,-0.8617,0.218,49.277264,7.033312,2019-05-29 12:07:37:173,,,
-0.608,-0.4391,0.9288,49.277264,7.033312,2019-05-29 12:07:37:271,,,
-0.3263,-0.7799,-1.6001,49.277264,7.033312,2019-05-29 12:07:37:371,,,
0.4366,-1.2407,0.3525,49.277264,7.033312,2019-05-29 12:07:37:471,,,
-0.0337,0.9927,1.2491,49.277264,7.033312,2019-05-29 12:07:37:571,,,
3.5059,-1.0311,-0.3078,49.277264,7.033312,2019-05-29 12:07:37:671,,,
1.958,-1.697,-1.0152,49.277264,7.033312,2019-05-29 12:07:37:771,,,
0.4487,-1.0329,0.6619,49.277264,7.033312,2019-05-29 12:07:37:871,,,
0.9075,0.0905,0.8529,49.277264,7.033312,2019-05-29 12:07:37:971,,,
-0.0537,0.6952,-0.3796,49.277264,7.033312,2019-05-29 12:07:38:071,,,
0.0711,0.0733,2.7599,49.277264,7.033312,2019-05-29 12:07:38:173,,,
0.8018,-1.4935,-0.0891,49.277264,7.033312,2019-05-29 12:07:38:271,,,
2.3498,-1.4662,-0.6532,49.277264,7.033312,2019-05-29 12:07:38:371,,,
3.1557,-0.5123,0.3187,49.277264,7.033312,2019-05-29 12:07:38:471,,,
1.8326,-1.5669,2.3966,49.277264,7.033312,2019-05-29 12:07:38:571,,,
-0.0638,-0.9806,-0.0072,49.277264,7.033312,2019-05-29 12:07:38:672,,,
-1.7237,-0.3523,-1.1141,49.277264,7.033312,2019-05-29 12:07:38:771,,,
-2.5485,1.0522,0.1594,49.277264,7.033312,2019-05-29 12:07:38:871,,,
-3.3444,-0.0536,0.6102,49.277264,7.033312,2019-05-29 12:07:38:972,,,
-2.8529,-1.3737,-0.9446,49.277264,7.033312,2019-05-29 12:07:39:072,,,
-1.6507,-1.9134,0.3344,49.277264,7.033312,2019-05-29 12:07:39:171,,,
-0.2405,-0.5623,0.1623,49.277264,7.033312,2019-05-29 12:07:39:271,,,
0.8018,0.8804,1.2809,49.277264,7.033312,2019-05-29 12:07:39:371,,,
0.1752,-0.8315,1.6449,49.277264,7.033312,2019-05-29 12:07:39:471,,,
-0.9238,-0.7323,-0.4444,49.277264,7.033312,2019-05-29 12:07:39:571,,,
-1.8877,-0.4426,-1.1668,49.277264,7.033312,2019-05-29 12:07:39:671,,,
-1.1592,0.5338,-0.6857,49.277264,7.033312,2019-05-29 12:07:39:771,,,
-2.0034,1.0276,0.9782,49.277264,7.033312,2019-05-29 12:07:39:871,,,
-1.2967,-0.5743,1.933,49.277264,7.033312,2019-05-29 12:07:39:971,,,
-0.2874,-1.5192,-0.7493,49.277264,7.033312,2019-05-29 12:07:40:071,,,
1.2431,1.1574,-2.2677,49.277264,7.033313,2019-05-29 12:06:05:324,1,,
-1.0636,2.1468,-0.145,49.277264,7.033313,2019-05-29 12:06:05:425,,,
-1.6903,2.3485,0.3912,49.277264,7.033313,2019-05-29 12:06:05:524,,,
-2.1872,2.1301,1.5786,49.277264,7.033313,2019-05-29 12:06:05:625,,,
-1.1699,0.4658,2.8639,49.277264,7.033313,2019-05-29 12:06:05:725,,,
0.1299,-1.3882,-0.9964,49.277264,7.033313,2019-05-29 12:06:05:824,,,
-0.731,-2.5399,-3.374,49.277264,7.033313,2019-05-29 12:06:05:925,,,
0.7463,-0.6512,1.3679,49.277264,7.033313,2019-05-29 12:06:06:025,,,
-0.3266,0.5689,1.4106,49.277264,7.033313,2019-05-29 12:06:06:125,,,
0.1243,-0.3514,0.7684,49.277264,7.033313,2019-05-29 12:06:06:225,,,
